service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
-999,1,1,1,1,1,1,1,20240101,20240414
1,1,1,1,1,1,0,0,20240101,20240414
101,0,0,0,0,0,0,0,20240101,20240414
1101,0,0,0,0,0,0,0,20240101,20240414
1201,0,0,0,0,0,0,0,20240101,20240414
152201,0,0,0,0,0,0,0,20240101,20240414
152301,0,0,0,0,0,0,0,20240101,20240414
155601,0,0,0,0,0,0,0,20240101,20240414
162503,0,0,0,0,0,0,0,20240101,20240414
162601,0,0,0,0,0,0,0,20240101,20240414
169801,0,0,0,0,0,0,0,20240101,20240414
1803,0,0,0,0,0,0,0,20240101,20240414
1901,0,0,0,0,0,0,0,20240101,20240414
2,0,0,0,0,0,1,0,20240101,20240414
2001,0,0,0,0,0,0,0,20240101,20240414
201,0,0,0,0,0,0,0,20240101,20240414
253403,0,0,0,0,0,0,0,20240101,20240414
259701,0,0,0,0,0,0,0,20240101,20240414
259702,0,0,0,0,0,0,0,20240101,20240414
259703,0,0,0,0,0,0,0,20240101,20240414
3,0,0,0,0,0,0,1,20240101,20240414
32603,0,0,0,0,0,0,0,20240101,20240414
401,0,0,0,0,0,0,0,20240101,20240414
4901,0,0,0,0,0,0,0,20240101,20240414
4902,0,0,0,0,0,0,0,20240101,20240414
4903,0,0,0,0,0,0,0,20240101,20240414
59001,0,0,0,0,0,0,0,20240101,20240414
59101,0,0,0,0,0,0,0,20240101,20240414
62101,0,0,0,0,0,0,0,20240101,20240414
62201,0,0,0,0,0,0,0,20240101,20240414
63901,0,0,0,0,0,0,0,20240101,20240414
701,0,0,0,0,0,0,0,20240101,20240414
75301,0,0,0,0,0,0,0,20240101,20240414
75401,0,0,0,0,0,0,0,20240101,20240414
801,0,0,0,0,0,0,0,20240101,20240414
